accession,label,protein_name,gene_name,organism,seq_length,keywords
A0PK11,1,Clarin-2,CLRN2,Homo sapiens,232,Cell membrane; Cell projection; Deafness; Disease variant; Glycoprotein; Hearing; Membrane; Non-syndromic deafness; Reference proteome; Transmembrane; Transmembrane helix
A6BM72,1,Multiple epidermal growth factor-like domains protein 11,MEGF11,Homo sapiens,1044,Alternative splicing; Cell membrane; Disulfide bond; EGF-like domain; Glycoprotein; Membrane; Proteomics identification; Reference proteome; Repeat; Signal; Transmembrane; Transmembrane helix
A6NI61,1,Protein myomaker,MYMK,Homo sapiens,221,Cell membrane; Disease variant; Golgi apparatus; Lipoprotein; Membrane; Myogenesis; Palmitate; Reference proteome; Transmembrane; Transmembrane helix
A6NNB3,1,Interferon-induced transmembrane protein 5,IFITM5,Homo sapiens,132,Cell membrane; Developmental protein; Disease variant; Lipoprotein; Membrane; Mineral balance; Osteogenesis imperfecta; Palmitate; Reference proteome; Transmembrane; Transmembrane helix
B6A8C7,1,"T-cell-interacting, activating receptor on myeloid cells protein 1",TARM1,Homo sapiens,271,Adaptive immunity; Alternative splicing; Cell membrane; Disulfide bond; Glycoprotein; Immunity; Immunoglobulin domain; Innate immunity; Membrane; Proteomics identification; Receptor; Reference proteome; Repeat; Signal; Transmembrane; Transmembrane helix
B7U540,1,Inward rectifier potassium channel 18,KCNJ18,Homo sapiens,433,Cell membrane; Disease variant; Endoplasmic reticulum; Ion channel; Ion transport; Membrane; Phosphoprotein; Potassium; Potassium transport; Reference proteome; Transmembrane; Transmembrane helix; Transport; Voltage-gated channel
D3W0D1,1,Killer cell lectin-like receptor subfamily F member 2,KLRF2,Homo sapiens,207,3D-structure; Cell membrane; Disulfide bond; Glycoprotein; Lectin; Membrane; Phosphoprotein; Receptor; Reference proteome; Signal-anchor; Transmembrane; Transmembrane helix
O00168,1,Phospholemman,FXYD1,Homo sapiens,92,3D-structure; Cell membrane; Glutathionylation; Ion transport; Lipoprotein; Membrane; Palmitate; Phosphoprotein; Potassium; Potassium transport; Proteomics identification; Reference proteome; Signal; Sodium; Sodium transport; Sodium/potassium transport; Transmembrane; Transmembrane helix; Transport
O00254,1,Proteinase-activated receptor 3,F2RL2,Homo sapiens,374,Alternative splicing; Blood coagulation; Cell membrane; Disulfide bond; G-protein coupled receptor; Glycoprotein; Hemostasis; Membrane; Proteomics identification; Receptor; Reference proteome; Signal; Transducer; Transmembrane; Transmembrane helix
O00337,1,Sodium/nucleoside cotransporter 1,SLC28A1,Homo sapiens,649,Alternative splicing; Cell membrane; Disease variant; Glycoprotein; Membrane; Proteomics identification; Reference proteome; Symport; Transmembrane; Transmembrane helix; Transport
O00478,1,Butyrophilin subfamily 3 member A3,BTN3A3,Homo sapiens,584,3D-structure; Adaptive immunity; Alternative splicing; Cell membrane; Direct protein sequencing; Disulfide bond; Glycoprotein; Immunity; Immunoglobulin domain; Membrane; Proteomics identification; Reference proteome; Repeat; Signal; Transmembrane; Transmembrane helix
O00591,1,Gamma-aminobutyric acid receptor subunit pi,GABRP,Homo sapiens,440,3D-structure; Cell membrane; Chloride; Chloride channel; Disulfide bond; Glycoprotein; Ion channel; Ion transport; Membrane; Proteomics identification; Reference proteome; Signal; Transmembrane; Transmembrane helix; Transport
O00624,1,Sodium-dependent phosphate transport protein 3,SLC17A2,Homo sapiens,439,Alternative splicing; Cell membrane; Glycoprotein; Ion transport; Membrane; Proteomics identification; Reference proteome; Sodium; Sodium transport; Symport; Transmembrane; Transmembrane helix; Transport
O14638,1,Ectonucleotide pyrophosphatase/phosphodiesterase family member 3,ENPP3,Homo sapiens,875,3D-structure; Calcium; Cell membrane; Direct protein sequencing; Disulfide bond; Glycoprotein; Hydrolase; Membrane; Metal-binding; Proteomics identification; Reference proteome; Repeat; Secreted; Signal-anchor; Transmembrane; Transmembrane helix; Zinc
O14788,1,Tumor necrosis factor ligand superfamily member 11,TNFSF11,Homo sapiens,317,3D-structure; Alternative splicing; Cell membrane; Cytokine; Cytoplasm; Developmental protein; Differentiation; Disease variant; Glycoprotein; Membrane; Osteopetrosis; Proteomics identification; Receptor; Reference proteome; Secreted; Signal-anchor; Transmembrane; Transmembrane helix
O14804,1,Trace amine-associated receptor 5,TAAR5,Homo sapiens,337,Cell membrane; Disulfide bond; G-protein coupled receptor; Glycoprotein; Membrane; Receptor; Reference proteome; Transducer; Transmembrane; Transmembrane helix
O14843,1,Free fatty acid receptor 3,FFAR3,Homo sapiens,346,3D-structure; Cell membrane; Disulfide bond; G-protein coupled receptor; Glycoprotein; Immunity; Inflammatory response; Lipid-binding; Membrane; Receptor; Reference proteome; Transducer; Transmembrane; Transmembrane helix
O14975,1,Long-chain fatty acid transport protein 2,SLC27A2,Homo sapiens,620,Acetylation; Alternative splicing; ATP-binding; Cell membrane; Endoplasmic reticulum; Fatty acid metabolism; Ligase; Lipid metabolism; Lipid transport; Membrane; Microsome; Nucleotide-binding; Peroxisome; Phosphoprotein; Proteomics identification; Reference proteome; Transmembrane; Transmembrane helix; Transport
